label,category,text
scam,bank_impersonation,"Good afternoon, this is the security department of your bank. We detected an unauthorized transaction of fifteen thousand pesos on your account. To reverse it I need you to read me the six digit verification code we just sent to your phone."
scam,bank_impersonation,"Sir, your ATM card has been compromised. Do not hang up, stay on the line while I transfer your balance to a safe holding account. I will need your card number and the CVV at the back."
scam,bank_impersonation,"Ma'am, we are calling from the fraud department. Your online banking password was used in another city. Please confirm your account number and the one time password so we can block the intruder immediately."
scam,bank_impersonation,"Your account will be permanently locked within the next 10 minutes unless you verify your identity. I just need your PIN and your mother's maiden name to lift the restriction."
scam,bank_impersonation,"This is an urgent call from your bank's anti money laundering unit. Your account is flagged. Transfer the funds now to the safe account I will dictate, otherwise the government will freeze everything."
scam,bank_impersonation,"Hello po, taga bangko po ako. May suspicious transaction po sa account niyo. Ibigay mo ang code na natanggap mo para ma-cancel natin agad."
scam,bank_impersonation,"We noticed a login from an unrecognized device. For your protection, install this app so our technician can secure your phone remotely. Please do not tell anyone about this security procedure."
scam,government_impersonation,"Good morning, this is the National Bureau of Investigation. A warrant of arrest has been issued in your name for money laundering. You can settle this today by sending the clearance fee through GCash."
scam,government_impersonation,"This is the Bureau of Internal Revenue. You have unpaid taxes and legal action will begin tomorrow. Pay the processing fee immediately and do not tell your family, this is a confidential case."
scam,government_impersonation,"Sir, this is customs. A parcel under your name contains illegal items. To avoid arrest you must pay a release fee right now through a remittance center."
scam,government_impersonation,"Your social security number has been suspended due to suspicious activity. Stay on the line and do not hang up, an officer will guide you on how to protect your funds."
scam,government_impersonation,"We are calling from the police anti cybercrime group. Your identity was used in a crime. Confirm your bank account details so we can verify you are the real owner."
scam,tech_support,"Hello, I am calling from Microsoft technical support. Our servers detected a virus broadcasting from your computer. Please install AnyDesk so I can remove it before your files are destroyed."
scam,tech_support,"Your Windows license has expired and hackers are already accessing your files. Give me remote access now, and to pay for the renewal we accept a Google Play card."
scam,tech_support,"Sir, your router has been infected. Click the link I sent and enter your online banking password so we can check if the hackers already took your money."
scam,tech_support,"I am from the technical department of your internet provider. To fix the connection I need your verification code and I need you to install this app on your phone right now."
scam,prize_lottery,"Congratulations, you are our lucky winner of a cash prize of one million pesos in our raffle. To release the prize, just send the processing fee of five thousand pesos today."
scam,prize_lottery,"Nanalo ka po sa aming promo. Bilisan mo po, expires today ang claim. Padalhan mo ako ng registration fee sa GCash para ma-release ang cash prize mo."
scam,prize_lottery,"You have won a brand new car in our anniversary raffle. This is your last chance to claim it. We only need the tax refund clearance fee and your card number for the deposit."
scam,prize_lottery,"Congratulations you have been selected among ten winners nationwide. Keep this confidential, other claimants might contest. Send the release fee through the account I will give you."
scam,investment,"Good day, I am offering an investment opportunity with a guaranteed return of thirty percent monthly. There is no risk at all. You can double your money in six months if you send the initial deposit today."
scam,investment,"Our crypto trading platform is closed to the public but I can add you today only. Just fund your bitcoin wallet with fifty thousand pesos and I will handle everything."
scam,investment,"This is a limited slot for our forex program with a guaranteed return. Do not tell anyone, the slots will be gone in the next hour. Send the advance payment now."
scam,delivery_parcel,"Ma'am, your delivery is on hold at the warehouse because of an unpaid customs fee. Pay the clearance fee now through GCash or the parcel will be returned today."
scam,delivery_parcel,"We tried to deliver your package but the address is incomplete. Please confirm your card number so we can charge the redelivery fee of one hundred fifty pesos."
scam,delivery_parcel,"Your parcel contains prohibited items and customs will file legal action. To settle it quietly, send the payment now and do not tell anyone."
scam,loan_offer,"Congratulations, you have a pre approved loan of two hundred thousand pesos with no requirements. We only need an advance payment for the insurance before we release the funds."
scam,loan_offer,"Sir, your loan is approved but the release is blocked by a processing fee. Send it through the remittance center now, this offer expires today."
scam,family_emergency,"Hello, your son was in an accident and he is being detained. Do not tell your family yet, just send money immediately to the account I will give you for the hospital deposit."
scam,family_emergency,"Ma, ako ito, nabangga ako. Huwag mong sabihin kay Papa. Padalhan mo ako ng pera ngayon din sa GCash na ito, bilisan mo."
scam,job_offer,"You passed our online screening for a work from home job with a high salary. Before we send the contract you need to pay a small processing fee for the training materials."
scam,job_offer,"We are hiring immediately, no interview needed. Just send the registration fee today to reserve your slot, this is a limited offer and it expires today."
scam,bank_impersonation,"Your card was used to purchase items abroad. If this was not you, I will reverse it now, but first read me the code sent to your phone to confirm your identity."
scam,bank_impersonation,"To protect your savings we will move your balance to a temporary safe account under the bank's name. Please do not hang up, and please do not discuss this with anyone at the branch."
